,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,avg,above average
425,female,group C,some college,free/reduced,none,62,67,62,63.666666666666664,0
426,male,group C,bachelor's degree,standard,none,86,83,86,85.0,1
427,male,group C,some high school,free/reduced,none,69,71,65,68.33333333333333,1
428,male,group A,some high school,free/reduced,none,65,59,53,59.0,0
429,male,group C,some high school,free/reduced,none,68,63,54,61.666666666666664,0
430,male,group C,associate's degree,free/reduced,none,64,66,59,63.0,0
431,female,group C,high school,standard,none,61,72,70,67.66666666666667,0
432,male,group C,high school,standard,none,61,56,55,57.333333333333336,0
433,female,group A,some high school,free/reduced,none,47,59,50,52.0,0
434,male,group C,some high school,standard,none,73,66,66,68.33333333333333,1
435,male,group C,some college,free/reduced,completed,50,48,53,50.333333333333336,0
436,male,group D,associate's degree,standard,none,75,68,64,69.0,1
437,male,group D,associate's degree,free/reduced,none,75,66,73,71.33333333333333,1
438,male,group C,high school,standard,none,70,56,51,59.0,0
439,male,group D,some high school,standard,completed,89,88,82,86.33333333333333,1
440,female,group C,some college,standard,completed,67,81,79,75.66666666666667,1
441,female,group D,high school,standard,none,78,81,80,79.66666666666667,1
442,female,group A,some high school,free/reduced,none,59,73,69,67.0,0
443,female,group B,associate's degree,standard,none,73,83,76,77.33333333333333,1
444,male,group A,some high school,free/reduced,none,79,82,73,78.0,1
445,female,group C,some high school,standard,completed,67,74,77,72.66666666666667,1
446,male,group D,some college,free/reduced,none,69,66,60,65.0,0
447,male,group C,high school,standard,completed,86,81,80,82.33333333333333,1
448,male,group B,high school,standard,none,47,46,42,45.0,0
449,male,group B,associate's degree,standard,none,81,73,72,75.33333333333333,1
450,female,group C,some college,free/reduced,completed,64,85,85,78.0,1
451,female,group E,some college,standard,none,100,92,97,96.33333333333333,1
452,female,group C,associate's degree,free/reduced,none,65,77,74,72.0,1
453,male,group C,some college,free/reduced,none,65,58,49,57.333333333333336,0
454,female,group C,associate's degree,free/reduced,none,53,61,62,58.666666666666664,0
455,male,group C,bachelor's degree,free/reduced,none,37,56,47,46.666666666666664,0
456,female,group D,bachelor's degree,standard,none,79,89,89,85.66666666666667,1
457,male,group D,associate's degree,free/reduced,none,53,54,48,51.666666666666664,0
458,female,group E,bachelor's degree,standard,none,100,100,100,100.0,1
459,male,group B,high school,standard,completed,72,65,68,68.33333333333333,1
460,male,group C,bachelor's degree,free/reduced,none,53,58,55,55.333333333333336,0
461,male,group B,some college,free/reduced,none,54,54,45,51.0,0
462,female,group E,some college,standard,none,71,70,76,72.33333333333333,1
463,female,group C,some college,free/reduced,none,77,90,91,86.0,1
464,male,group A,bachelor's degree,standard,completed,75,58,62,65.0,0
465,female,group C,some college,standard,none,84,87,91,87.33333333333333,1
466,female,group D,associate's degree,free/reduced,none,26,31,38,31.666666666666668,0
467,male,group A,high school,free/reduced,completed,72,67,65,68.0,1
468,female,group A,high school,free/reduced,completed,77,88,85,83.33333333333333,1
469,male,group C,some college,standard,none,91,74,76,80.33333333333333,1
470,female,group C,associate's degree,standard,completed,83,85,90,86.0,1
471,female,group C,high school,standard,none,63,69,74,68.66666666666667,1
472,female,group C,associate's degree,standard,completed,68,86,84,79.33333333333333,1
473,female,group D,some high school,standard,none,59,67,61,62.333333333333336,0
474,female,group B,associate's degree,standard,completed,90,90,91,90.33333333333333,1
475,female,group D,bachelor's degree,standard,completed,71,76,83,76.66666666666667,1
476,male,group E,bachelor's degree,standard,completed,76,62,66,68.0,1
477,male,group D,associate's degree,standard,none,80,68,72,73.33333333333333,1
478,female,group D,master's degree,standard,none,55,64,70,63.0,0
479,male,group E,associate's degree,standard,none,76,71,67,71.33333333333333,1
480,male,group B,high school,standard,completed,73,71,68,70.66666666666667,1
481,female,group D,associate's degree,free/reduced,none,52,59,56,55.666666666666664,0
482,male,group C,some college,free/reduced,none,68,68,61,65.66666666666667,0
483,male,group A,high school,standard,none,59,52,46,52.333333333333336,0
484,female,group B,associate's degree,standard,none,49,52,54,51.666666666666664,0
485,male,group C,high school,standard,none,70,74,71,71.66666666666667,1
486,male,group D,some college,free/reduced,none,61,47,56,54.666666666666664,0
487,female,group C,associate's degree,free/reduced,none,60,75,74,69.66666666666667,1
488,male,group B,some high school,standard,completed,64,53,57,58.0,0
489,male,group A,associate's degree,free/reduced,completed,79,82,82,81.0,1
490,female,group A,associate's degree,free/reduced,none,65,85,76,75.33333333333333,1
491,female,group C,associate's degree,standard,none,64,64,70,66.0,0
492,female,group C,some college,standard,none,83,83,90,85.33333333333333,1
493,female,group C,bachelor's degree,standard,none,81,88,90,86.33333333333333,1
494,female,group B,high school,standard,none,54,64,68,62.0,0
495,male,group D,high school,standard,completed,68,64,66,66.0,0
496,female,group C,some college,standard,none,54,48,52,51.333333333333336,0
497,female,group D,some college,free/reduced,completed,59,78,76,71.0,1
498,female,group B,some high school,standard,none,66,69,68,67.66666666666667,0
499,male,group E,some college,standard,none,76,71,72,73.0,1
500,female,group D,master's degree,standard,none,74,79,82,78.33333333333333,1
501,female,group B,associate's degree,standard,completed,94,87,92,91.0,1
502,male,group C,some college,free/reduced,none,63,61,54,59.333333333333336,0
503,female,group E,associate's degree,standard,completed,95,89,92,92.0,1
504,female,group D,master's degree,free/reduced,none,40,59,54,51.0,0
505,female,group B,some high school,standard,none,82,82,80,81.33333333333333,1
506,male,group A,high school,standard,none,68,70,66,68.0,1
507,male,group B,bachelor's degree,free/reduced,none,55,59,54,56.0,0
508,male,group C,master's degree,standard,none,79,78,77,78.0,1
509,female,group C,bachelor's degree,standard,none,86,92,87,88.33333333333333,1
510,male,group D,some college,standard,none,76,71,73,73.33333333333333,1
511,male,group A,some high school,standard,none,64,50,43,52.333333333333336,0
512,male,group D,some high school,free/reduced,none,62,49,52,54.333333333333336,0
513,female,group B,some high school,standard,completed,54,61,62,59.0,0
514,female,group B,master's degree,free/reduced,completed,77,97,94,89.33333333333333,1
515,female,group C,some high school,standard,completed,76,87,85,82.66666666666667,1
516,female,group D,some college,standard,none,74,89,84,82.33333333333333,1
517,female,group E,some college,standard,completed,66,74,73,71.0,1
518,female,group D,some high school,standard,completed,66,78,78,74.0,1
519,female,group B,high school,free/reduced,completed,67,78,79,74.66666666666667,1
520,male,group D,some college,standard,none,71,49,52,57.333333333333336,0
521,female,group C,associate's degree,standard,none,91,86,84,87.0,1
522,male,group D,bachelor's degree,standard,none,69,58,57,61.333333333333336,0
523,male,group C,master's degree,free/reduced,none,54,59,50,54.333333333333336,0
524,male,group C,high school,standard,completed,53,52,49,51.333333333333336,0
525,male,group E,some college,standard,none,68,60,59,62.333333333333336,0
526,male,group C,some high school,free/reduced,completed,56,61,60,59.0,0
527,female,group C,high school,free/reduced,none,36,53,43,44.0,0
528,female,group D,bachelor's degree,free/reduced,none,29,41,47,39.0,0
529,female,group C,associate's degree,standard,none,62,74,70,68.66666666666667,1
530,female,group C,associate's degree,standard,completed,68,67,73,69.33333333333333,1
531,female,group C,some high school,standard,none,47,54,53,51.333333333333336,0
532,male,group E,associate's degree,standard,completed,62,61,58,60.333333333333336,0
533,female,group E,associate's degree,standard,completed,79,88,94,87.0,1
534,male,group B,high school,standard,completed,73,69,68,70.0,1
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83,77.33333333333333,1
536,male,group C,associate's degree,standard,completed,51,60,58,56.333333333333336,0
537,female,group D,high school,standard,none,51,66,62,59.666666666666664,0
538,male,group E,bachelor's degree,standard,completed,85,66,71,74.0,1
539,male,group A,associate's degree,standard,completed,97,92,86,91.66666666666667,1
540,male,group C,high school,standard,completed,75,69,68,70.66666666666667,1
541,male,group D,associate's degree,free/reduced,completed,79,82,80,80.33333333333333,1
542,female,group C,associate's degree,standard,none,81,77,79,79.0,1
543,female,group D,associate's degree,standard,none,82,95,89,88.66666666666667,1
544,female,group D,master's degree,standard,none,64,63,66,64.33333333333333,0
545,male,group E,some high school,free/reduced,completed,78,83,80,80.33333333333333,1
546,female,group A,some high school,standard,completed,92,100,97,96.33333333333333,1
547,male,group C,high school,standard,completed,72,67,64,67.66666666666667,0
548,female,group C,high school,free/reduced,none,62,67,64,64.33333333333333,0
549,male,group C,master's degree,standard,none,79,72,69,73.33333333333333,1
550,male,group C,some high school,free/reduced,none,79,76,65,73.33333333333333,1
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88,88.33333333333333,1
552,female,group B,associate's degree,standard,none,40,48,50,46.0,0
553,male,group D,some college,free/reduced,none,77,62,64,67.66666666666667,0
554,male,group E,associate's degree,standard,none,53,45,40,46.0,0
555,female,group C,some college,free/reduced,none,32,39,33,34.666666666666664,0
556,female,group C,associate's degree,standard,completed,55,72,79,68.66666666666667,1
557,male,group C,master's degree,free/reduced,none,61,67,66,64.66666666666667,0
558,female,group B,associate's degree,free/reduced,none,53,70,70,64.33333333333333,0
559,male,group D,some high school,standard,none,73,66,62,67.0,0
560,female,group D,some college,standard,completed,74,75,79,76.0,1
561,female,group C,some college,standard,none,63,74,74,70.33333333333333,1
562,male,group C,bachelor's degree,standard,completed,96,90,92,92.66666666666667,1
563,female,group D,some college,free/reduced,completed,63,80,80,74.33333333333333,1
564,male,group B,bachelor's degree,free/reduced,none,48,51,46,48.333333333333336,0
565,male,group B,associate's degree,standard,none,48,43,45,45.333333333333336,0
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100,97.33333333333333,1
567,female,group D,master's degree,free/reduced,completed,61,71,78,70.0,1
568,male,group B,high school,free/reduced,none,63,48,47,52.666666666666664,0
569,male,group D,bachelor's degree,free/reduced,none,68,68,67,67.66666666666667,0
570,male,group B,some college,standard,completed,71,75,70,72.0,1
571,male,group A,bachelor's degree,standard,none,91,96,92,93.0,1
572,female,group C,some college,standard,none,53,62,56,57.0,0
573,female,group C,high school,free/reduced,completed,50,66,64,60.0,0
574,female,group E,high school,standard,none,74,81,71,75.33333333333333,1
575,male,group A,associate's degree,free/reduced,completed,40,55,53,49.333333333333336,0
576,male,group A,some college,standard,completed,61,51,52,54.666666666666664,0
577,female,group B,high school,standard,none,81,91,89,87.0,1
578,female,group B,some college,free/reduced,completed,48,56,58,54.0,0
579,female,group D,master's degree,standard,none,53,61,68,60.666666666666664,0
580,female,group D,some high school,standard,none,81,97,96,91.33333333333333,1
581,female,group E,some high school,standard,none,77,79,80,78.66666666666667,1
582,female,group D,bachelor's degree,free/reduced,none,63,73,78,71.33333333333333,1
583,female,group D,associate's degree,standard,completed,73,75,80,76.0,1
584,female,group D,some college,standard,none,69,77,77,74.33333333333333,1
585,female,group C,associate's degree,standard,none,65,76,76,72.33333333333333,1
586,female,group A,high school,standard,none,55,73,73,67.0,0
587,female,group C,bachelor's degree,free/reduced,none,44,63,62,56.333333333333336,0
588,female,group C,some college,standard,none,54,64,65,61.0,0
589,female,group A,some high school,standard,none,48,66,65,59.666666666666664,0
590,male,group C,some college,free/reduced,none,58,57,54,56.333333333333336,0
591,male,group A,some high school,standard,none,71,62,50,61.0,0
592,male,group E,bachelor's degree,standard,none,68,68,64,66.66666666666667,0
593,female,group E,high school,standard,none,74,76,73,74.33333333333333,1
594,female,group C,bachelor's degree,standard,completed,92,100,99,97.0,1
595,female,group C,bachelor's degree,standard,completed,56,79,72,69.0,1
596,male,group B,high school,free/reduced,none,30,24,15,23.0,0
597,male,group A,some high school,standard,none,53,54,48,51.666666666666664,0
598,female,group D,high school,standard,none,69,77,73,73.0,1
599,female,group D,some high school,standard,none,65,82,81,76.0,1
600,female,group D,master's degree,standard,none,54,60,63,59.0,0
601,female,group C,high school,standard,none,29,29,30,29.333333333333332,0
602,female,group E,some college,standard,none,76,78,80,78.0,1
603,male,group D,high school,free/reduced,none,60,57,51,56.0,0
604,male,group D,master's degree,free/reduced,completed,84,89,90,87.66666666666667,1
605,male,group C,some high school,standard,none,75,72,62,69.66666666666667,1
606,female,group C,associate's degree,standard,none,85,84,82,83.66666666666667,1
607,female,group C,master's degree,free/reduced,none,40,58,54,50.666666666666664,0
608,female,group E,some college,standard,none,61,64,62,62.333333333333336,0
609,female,group B,associate's degree,standard,none,58,63,65,62.0,0
610,male,group D,some college,free/reduced,completed,69,60,63,64.0,0
611,female,group C,some college,standard,none,58,59,66,61.0,0
612,male,group C,bachelor's degree,standard,completed,94,90,91,91.66666666666667,1
613,female,group C,associate's degree,standard,none,65,77,74,72.0,1
614,female,group A,associate's degree,standard,none,82,93,93,89.33333333333333,1
615,female,group C,high school,standard,none,60,68,72,66.66666666666667,0
616,female,group E,bachelor's degree,standard,none,37,45,38,40.0,0
617,male,group D,bachelor's degree,standard,none,88,78,83,83.0,1
618,male,group D,master's degree,standard,none,95,81,84,86.66666666666667,1
619,male,group C,associate's degree,free/reduced,completed,65,73,68,68.66666666666667,1
620,female,group C,high school,free/reduced,none,35,61,54,50.0,0
621,male,group B,bachelor's degree,free/reduced,none,62,63,56,60.333333333333336,0
622,male,group C,high school,free/reduced,completed,58,51,52,53.666666666666664,0
623,male,group A,some college,standard,completed,100,96,86,94.0,1
624,female,group E,bachelor's degree,free/reduced,none,61,58,62,60.333333333333336,0
625,male,group D,some college,standard,completed,100,97,99,98.66666666666667,1
626,male,group B,associate's degree,free/reduced,completed,69,70,63,67.33333333333333,0
627,male,group D,associate's degree,standard,none,61,48,46,51.666666666666664,0
628,male,group D,some college,free/reduced,none,49,57,46,50.666666666666664,0
629,female,group C,some high school,standard,completed,44,51,55,50.0,0
630,male,group D,some college,standard,none,67,64,70,67.0,0
631,male,group B,high school,standard,none,79,60,65,68.0,1
632,female,group B,bachelor's degree,standard,completed,66,74,81,73.66666666666667,1
633,female,group C,high school,standard,none,75,88,85,82.66666666666667,1
634,male,group D,some high school,standard,none,84,84,80,82.66666666666667,1
635,male,group A,high school,standard,none,71,74,64,69.66666666666667,1
636,female,group B,high school,free/reduced,completed,67,80,81,76.0,1
637,female,group D,some high school,standard,completed,80,92,88,86.66666666666667,1
638,male,group E,some college,standard,none,86,76,74,78.66666666666667,1
639,female,group D,associate's degree,standard,none,76,74,73,74.33333333333333,1
640,male,group D,high school,standard,none,41,52,51,48.0,0
641,female,group D,associate's degree,free/reduced,completed,74,88,90,84.0,1
642,female,group B,some high school,free/reduced,none,72,81,79,77.33333333333333,1
643,female,group E,high school,standard,completed,74,79,80,77.66666666666667,1
644,male,group B,high school,standard,none,70,65,60,65.0,0
645,female,group B,bachelor's degree,standard,completed,65,81,81,75.66666666666667,1
646,female,group D,associate's degree,standard,none,59,70,65,64.66666666666667,0
647,female,group E,high school,free/reduced,none,64,62,68,64.66666666666667,0
648,female,group B,high school,standard,none,50,53,55,52.666666666666664,0
649,female,group D,some college,standard,completed,69,79,81,76.33333333333333,1
650,male,group C,some high school,free/reduced,completed,51,56,53,53.333333333333336,0
651,female,group A,high school,standard,completed,68,80,76,74.66666666666667,1
652,female,group D,some college,standard,completed,85,86,98,89.66666666666667,1
653,female,group A,associate's degree,standard,completed,65,70,74,69.66666666666667,1
654,female,group B,some high school,standard,none,73,79,79,77.0,1
655,female,group B,some college,standard,none,62,67,67,65.33333333333333,0
656,male,group C,associate's degree,free/reduced,none,77,67,64,69.33333333333333,1
657,male,group D,some high school,standard,none,69,66,61,65.33333333333333,0
658,female,group D,associate's degree,free/reduced,none,43,60,58,53.666666666666664,0
659,male,group D,associate's degree,standard,none,90,87,85,87.33333333333333,1
660,male,group C,some college,free/reduced,none,74,77,73,74.66666666666667,1
661,male,group C,some high school,standard,none,73,66,63,67.33333333333333,0
662,female,group D,some college,free/reduced,none,55,71,69,65.0,0
663,female,group C,high school,standard,none,65,69,67,67.0,0
664,male,group D,associate's degree,standard,none,80,63,63,68.66666666666667,1
665,female,group C,some high school,free/reduced,completed,50,60,60,56.666666666666664,0
666,female,group C,some college,free/reduced,completed,63,73,71,69.0,1
667,female,group B,bachelor's degree,free/reduced,none,77,85,87,83.0,1
668,male,group C,some college,standard,none,73,74,61,69.33333333333333,1
669,male,group D,associate's degree,standard,completed,81,72,77,76.66666666666667,1
670,female,group C,high school,free/reduced,none,66,76,68,70.0,1
671,male,group D,associate's degree,free/reduced,none,52,57,50,53.0,0
672,female,group C,some college,standard,none,69,78,76,74.33333333333333,1
673,female,group C,associate's degree,standard,completed,65,84,84,77.66666666666667,1
674,female,group D,high school,standard,completed,69,77,78,74.66666666666667,1
675,female,group B,some college,standard,completed,50,64,66,60.0,0
676,female,group E,some college,standard,completed,73,78,76,75.66666666666667,1
677,female,group C,some high school,standard,completed,70,82,76,76.0,1
678,male,group D,associate's degree,free/reduced,none,81,75,78,78.0,1
679,male,group D,some college,free/reduced,none,63,61,60,61.333333333333336,0
680,female,group D,high school,standard,none,67,72,74,71.0,1
681,male,group B,high school,standard,none,60,68,60,62.666666666666664,0
682,male,group B,high school,standard,none,62,55,54,57.0,0
683,female,group C,some high school,free/reduced,completed,29,40,44,37.666666666666664,0
684,male,group B,some college,standard,completed,62,66,68,65.33333333333333,0
685,female,group E,master's degree,standard,completed,94,99,100,97.66666666666667,1
686,male,group E,some college,standard,completed,85,75,68,76.0,1
687,male,group D,associate's degree,free/reduced,none,77,78,73,76.0,1
688,male,group A,high school,free/reduced,none,53,58,44,51.666666666666664,0
689,male,group E,some college,free/reduced,none,93,90,83,88.66666666666667,1
690,female,group C,associate's degree,standard,none,49,53,53,51.666666666666664,0
691,female,group E,associate's degree,free/reduced,none,73,76,78,75.66666666666667,1
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81,73.66666666666667,1
693,female,group D,associate's degree,standard,none,77,77,73,75.66666666666667,1
694,female,group C,some high school,standard,none,49,63,56,56.0,0
695,female,group D,some college,free/reduced,none,79,89,86,84.66666666666667,1
696,female,group C,associate's degree,standard,completed,75,82,90,82.33333333333333,1
697,female,group A,bachelor's degree,standard,none,59,72,70,67.0,0
698,female,group D,associate's degree,standard,completed,57,78,79,71.33333333333333,1
699,male,group C,high school,free/reduced,none,66,66,59,63.666666666666664,0
700,female,group E,bachelor's degree,standard,completed,79,81,82,80.66666666666667,1
701,female,group B,some high school,standard,none,57,67,72,65.33333333333333,0
702,male,group A,bachelor's degree,standard,completed,87,84,87,86.0,1
703,female,group D,some college,standard,none,63,64,67,64.66666666666667,0
704,female,group B,some high school,free/reduced,completed,59,63,64,62.0,0
705,male,group A,bachelor's degree,free/reduced,none,62,72,65,66.33333333333333,0
706,male,group D,high school,standard,none,46,34,36,38.666666666666664,0
707,male,group C,some college,standard,none,66,59,52,59.0,0
708,male,group D,high school,standard,none,89,87,79,85.0,1
709,female,group D,associate's degree,free/reduced,completed,42,61,58,53.666666666666664,0
710,male,group C,some college,standard,completed,93,84,90,89.0,1
711,female,group E,some high school,standard,completed,80,85,85,83.33333333333333,1
712,female,group D,some college,standard,none,98,100,99,99.0,1
713,male,group D,master's degree,standard,none,81,81,84,82.0,1
714,female,group B,some high school,standard,completed,60,70,74,68.0,1
715,female,group B,associate's degree,free/reduced,completed,76,94,87,85.66666666666667,1
716,male,group C,associate's degree,standard,completed,73,78,72,74.33333333333333,1
717,female,group C,associate's degree,standard,completed,96,96,99,97.0,1
718,female,group C,high school,standard,none,76,76,74,75.33333333333333,1
719,male,group E,associate's degree,free/reduced,completed,91,73,80,81.33333333333333,1
720,female,group C,some college,free/reduced,none,62,72,70,68.0,1
721,male,group D,some high school,free/reduced,completed,55,59,59,57.666666666666664,0
722,female,group B,some high school,free/reduced,completed,74,90,88,84.0,1
723,male,group C,high school,standard,none,50,48,42,46.666666666666664,0
724,male,group B,some college,standard,none,47,43,41,43.666666666666664,0
725,male,group E,some college,standard,completed,81,74,71,75.33333333333333,1
726,female,group E,associate's degree,standard,completed,65,75,77,72.33333333333333,1
727,male,group E,some high school,standard,completed,68,51,57,58.666666666666664,0
728,female,group D,high school,free/reduced,none,73,92,84,83.0,1
729,male,group C,some college,standard,none,53,39,37,43.0,0
730,female,group B,associate's degree,free/reduced,completed,68,77,80,75.0,1
731,male,group A,some high school,free/reduced,none,55,46,43,48.0,0
732,female,group C,some college,standard,completed,87,89,94,90.0,1
733,male,group D,some high school,standard,none,55,47,44,48.666666666666664,0
734,female,group E,some college,free/reduced,none,53,58,57,56.0,0
735,male,group C,master's degree,standard,none,67,57,59,61.0,0
736,male,group C,associate's degree,standard,none,92,79,84,85.0,1
737,female,group B,some college,free/reduced,completed,53,66,73,64.0,0
738,male,group D,associate's degree,standard,none,81,71,73,75.0,1
739,male,group C,high school,free/reduced,none,61,60,55,58.666666666666664,0
740,male,group D,bachelor's degree,standard,none,80,73,72,75.0,1
741,female,group A,associate's degree,free/reduced,none,37,57,56,50.0,0
742,female,group C,high school,standard,none,81,84,82,82.33333333333333,1
743,female,group C,associate's degree,standard,completed,59,73,72,68.0,1
744,male,group B,some college,free/reduced,none,55,55,47,52.333333333333336,0
745,male,group D,associate's degree,standard,none,72,79,74,75.0,1
746,male,group D,high school,standard,none,69,75,71,71.66666666666667,1
747,male,group C,some college,standard,none,69,64,68,67.0,0
748,female,group C,bachelor's degree,free/reduced,none,50,60,59,56.333333333333336,0
749,male,group B,some college,standard,completed,87,84,86,85.66666666666667,1
750,male,group D,some high school,standard,completed,71,69,68,69.33333333333333,1
751,male,group E,some college,standard,none,68,72,65,68.33333333333333,1
752,male,group C,master's degree,free/reduced,completed,79,77,75,77.0,1
753,female,group C,some high school,standard,completed,77,90,85,84.0,1
754,male,group C,associate's degree,free/reduced,none,58,55,53,55.333333333333336,0
755,female,group E,associate's degree,standard,none,84,95,92,90.33333333333333,1
756,male,group D,some college,standard,none,55,58,52,55.0,0
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72,70.0,1
758,female,group D,some college,free/reduced,completed,52,59,65,58.666666666666664,0
759,male,group B,some college,standard,completed,69,77,77,74.33333333333333,1
760,female,group C,high school,free/reduced,none,53,72,64,63.0,0
761,female,group D,some high school,standard,none,48,58,54,53.333333333333336,0
762,male,group D,some high school,standard,completed,78,81,86,81.66666666666667,1
763,female,group B,high school,standard,none,62,62,63,62.333333333333336,0
764,male,group D,some college,standard,none,60,63,59,60.666666666666664,0
765,female,group B,high school,standard,none,74,72,72,72.66666666666667,1
766,female,group C,high school,standard,completed,58,75,77,70.0,1
767,male,group B,high school,standard,completed,76,62,60,66.0,0
768,female,group D,some high school,standard,none,68,71,75,71.33333333333333,1
769,male,group A,some college,free/reduced,none,58,60,57,58.333333333333336,0
770,male,group B,high school,standard,none,52,48,49,49.666666666666664,0
771,male,group D,bachelor's degree,standard,none,75,73,74,74.0,1
772,female,group B,some high school,free/reduced,completed,52,67,72,63.666666666666664,0
773,female,group C,bachelor's degree,free/reduced,none,62,78,79,73.0,1
774,male,group B,some college,standard,none,66,65,60,63.666666666666664,0
775,female,group B,some high school,free/reduced,none,49,58,55,54.0,0
776,female,group B,high school,standard,none,66,72,70,69.33333333333333,1
777,female,group C,some college,free/reduced,none,35,44,43,40.666666666666664,0
778,female,group A,some college,standard,completed,72,79,82,77.66666666666667,1
779,male,group E,associate's degree,standard,completed,94,85,82,87.0,1
780,female,group D,associate's degree,free/reduced,none,46,56,57,53.0,0
781,female,group B,master's degree,standard,none,77,90,84,83.66666666666667,1
782,female,group B,high school,free/reduced,completed,76,85,82,81.0,1
783,female,group C,associate's degree,standard,completed,52,59,62,57.666666666666664,0
784,male,group C,bachelor's degree,standard,completed,91,81,79,83.66666666666667,1
785,female,group B,some high school,standard,completed,32,51,44,42.333333333333336,0
786,female,group E,some high school,free/reduced,none,72,79,77,76.0,1
787,female,group B,some college,standard,none,19,38,32,29.666666666666668,0
788,male,group C,associate's degree,free/reduced,none,68,65,61,64.66666666666667,0
789,female,group C,master's degree,free/reduced,none,52,65,61,59.333333333333336,0
790,female,group B,high school,standard,none,48,62,60,56.666666666666664,0
791,female,group D,some college,free/reduced,none,60,66,70,65.33333333333333,0
792,male,group D,high school,free/reduced,none,66,74,69,69.66666666666667,1
793,male,group E,some high school,standard,completed,89,84,77,83.33333333333333,1
794,female,group B,high school,standard,none,42,52,51,48.333333333333336,0
795,female,group E,associate's degree,free/reduced,completed,57,68,73,66.0,0
796,male,group D,high school,standard,none,70,70,70,70.0,1
797,female,group E,associate's degree,free/reduced,none,70,84,81,78.33333333333333,1
798,male,group E,some college,standard,none,69,60,54,61.0,0
799,female,group C,associate's degree,standard,none,52,55,57,54.666666666666664,0
800,male,group C,some high school,standard,completed,67,73,68,69.33333333333333,1
801,male,group C,some high school,standard,completed,76,80,73,76.33333333333333,1
802,female,group E,associate's degree,standard,none,87,94,95,92.0,1
803,female,group B,some college,standard,none,82,85,87,84.66666666666667,1
804,female,group C,some college,standard,none,73,76,78,75.66666666666667,1
805,male,group A,some college,free/reduced,none,75,81,74,76.66666666666667,1
806,female,group D,some college,free/reduced,none,64,74,75,71.0,1
807,female,group E,high school,free/reduced,none,41,45,40,42.0,0
808,male,group C,high school,standard,none,90,75,69,78.0,1
809,male,group B,bachelor's degree,standard,none,59,54,51,54.666666666666664,0
810,male,group A,some high school,standard,none,51,31,36,39.333333333333336,0
811,male,group A,high school,free/reduced,none,45,47,49,47.0,0
812,female,group C,master's degree,standard,completed,54,64,67,61.666666666666664,0
813,male,group E,some high school,standard,completed,87,84,76,82.33333333333333,1
814,female,group C,high school,standard,none,72,80,83,78.33333333333333,1
815,male,group B,some high school,standard,completed,94,86,87,89.0,1
816,female,group A,bachelor's degree,standard,none,45,59,64,56.0,0
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76,69.0,1
818,female,group B,high school,free/reduced,none,60,72,68,66.66666666666667,0
819,female,group C,some high school,standard,none,77,91,88,85.33333333333333,1
820,female,group A,some high school,standard,completed,85,90,92,89.0,1
821,female,group D,bachelor's degree,free/reduced,none,78,90,93,87.0,1
822,male,group E,some college,free/reduced,completed,49,52,51,50.666666666666664,0
823,female,group B,high school,free/reduced,none,71,87,82,80.0,1
824,female,group C,some high school,free/reduced,none,48,58,52,52.666666666666664,0
825,male,group C,high school,standard,none,62,67,58,62.333333333333336,0
826,female,group C,associate's degree,free/reduced,completed,56,68,70,64.66666666666667,0
827,female,group C,some high school,standard,none,65,69,76,70.0,1
828,female,group D,some high school,free/reduced,completed,69,86,81,78.66666666666667,1
829,male,group B,some high school,standard,none,68,54,53,58.333333333333336,0
830,female,group A,some college,free/reduced,none,61,60,57,59.333333333333336,0
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89,83.0,1
832,male,group A,bachelor's degree,standard,none,64,60,58,60.666666666666664,0
833,female,group B,high school,standard,completed,77,82,89,82.66666666666667,1
834,male,group B,some college,standard,none,58,50,45,51.0,0
835,female,group C,high school,standard,completed,60,64,74,66.0,0
836,male,group E,high school,standard,none,73,64,57,64.66666666666667,0
837,female,group A,high school,standard,completed,75,82,79,78.66666666666667,1
838,male,group B,associate's degree,free/reduced,completed,58,57,53,56.0,0
839,female,group C,associate's degree,standard,none,66,77,73,72.0,1
840,female,group D,high school,free/reduced,none,39,52,46,45.666666666666664,0
841,male,group C,some high school,standard,none,64,58,51,57.666666666666664,0
842,female,group B,high school,free/reduced,completed,23,44,36,34.333333333333336,0
843,male,group B,some college,free/reduced,completed,74,77,76,75.66666666666667,1
844,female,group D,some high school,free/reduced,completed,40,65,64,56.333333333333336,0
845,male,group E,master's degree,standard,none,90,85,84,86.33333333333333,1
846,male,group C,master's degree,standard,completed,91,85,85,87.0,1
847,male,group D,high school,standard,none,64,54,50,56.0,0
848,female,group C,high school,standard,none,59,72,68,66.33333333333333,0
849,male,group D,associate's degree,standard,none,80,75,69,74.66666666666667,1
850,male,group C,master's degree,standard,none,71,67,67,68.33333333333333,1
851,female,group A,high school,standard,none,61,68,63,64.0,0
852,female,group E,some college,standard,none,87,85,93,88.33333333333333,1
853,male,group E,some high school,standard,none,82,67,61,70.0,1
854,male,group C,some high school,standard,none,62,64,55,60.333333333333336,0
